Filial propietaria directa,Inmuebles,FIANZAS,Matriz,Sede empresa matriz,Sociedad utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Observaciones (INTERNO),Tareas (INTERNO),Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Links (INTERNO)
"Buildingcenter, S.A.U.",383,129540.47,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,https://buildingcenter.es/es/home-es/,https://www.boe.es/borme/dias/2012/10/16/pdfs/BORME-A-2012-199-08.pdf,NA,NA,NA,NA
"Sociedad Municipal Zaragoza Vivienda, S.L.U.",332,39340.61,Ayuntamienyo de Zaragoza,España,Sociedad Municipal Zaragoza Vivienda SLU,España,Empresa pública,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nestar Residencial SII, S.A.",238,76072.02,CBRE,Estados Unidos,Azora Capital SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,https://www.azora.es/inversion-inmobiliaria/residencial/,https://nestarhomes.es/aviso-legal,https://www.boe.es/borme/dias/2019/06/14/pdfs/BORME-A-2019-112-28.pdf,https://www.cnmv.es/Portal/verGesDoc.axd?t={f7136115-8e63-48f8-aed7-58a0c192696e},https://www.azora.es/wp-content/uploads/2021/01/ESG-Report_Lazora-2019_EN.pdf,NA
Inmo Criteria Arrendamiento S.L.U.,161,171244.62,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,NA,NA,https://www.boe.es/borme/dias/2018/08/02/pdfs/BORME-A-2018-148-08.pdf,https://www.boe.es/borme/dias/2017/10/17/pdfs/BORME-A-2017-198-08.pdf,https://www.boe.es/borme/dias/2017/10/17/pdfs/BORME-A-2017-198-08.pdf,https://www.boe.es/borme/dias/2015/05/29/pdfs/BORME-A-2015-100-08.pdf,https://www.boe.es/borme/dias/2013/12/30/pdfs/BORME-A-2013-248-08.pdf,NA
Vea Rental Homes Socimi S.A.,153,97727.4,Banco Sabadell,España,Vea Rental Homes SA,España,Empresa privada,NA,Entidades financieras,Banca,Ya no es socimi,NA,https://www.boe.es/borme/dias/2016/10/06/pdfs/BORME-A-2016-192-08.pdf,https://www.boe.es/borme/dias/2018/12/28/pdfs/BORME-A-2018-248-08.pdf,NA,NA,NA,NA
"Entrecampos Cuatro Socimi, S.A.",102,99224.95,Entrecampos Cuatro Socimi SA,España,Entrecampos Cuatro Socimi SA,España,Socimi,NA,Inmobiliaria,NA,Familia Segura Rodríguez,NA,https://entrecamposcuatro.com/participaciones-significativas-de-la-sociedad-al-31-12-2022/,NA,NA,NA,NA,NA
Inversiones Ezetra S.L.,92,47767.04,Bancale Servicios Integrales SL,España,Inversiones Ezetra SL,España,Empresa privada,NA,Entidades financieras,Compraventa de participaciones,NA,PEDIR HOJA BORME,https://infocif.economia3.com/empresa/inversiones-ezetra-sl,https://bancale.es/en/home-bancale-2/inversion-2/sectores-de-activadad-2/,NA,NA,NA,NA
Compañía Urbanizadora Norte Zaragoza S.L.,90,99224.95,Compañía Urbanizadora Norte Zaragoza S.L.,España,Compañía Urbanizadora Norte Zaragoza S.L.,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zatiber Fusión S.L.,81,100442.17,Zatiber Fusión SL,España,Zatiber Fusión SL,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,https://www.boe.es/borme/dias/2019/02/15/pdfs/BORME-A-2019-32-50.pdf,NA,NA,NA,NA,NA
Suelo y Vivienda de Aragón,231,62194.53,Gobierno de Aragón,España,Suelo y Vivienda de Aragón,España,Empresa pública,CCAA,Parque público,NA,Datos con posterioridad a través de gabinete de prensa,NA,NA,NA,NA,NA,NA,NA
