Filial propietaria directa,Inmuebles,Matriz,Sede empresa matriz,Sociedad utilizada,Sede sociedad utilizada,Tipo sociedad utilizada,Administración,Sector,Subsector,Fuente,Fuente 2,Fuente 3,Fuente 4,Fuente 5,Links (INTERNO)
"Navarra de Suelo y Vivienda, S.A.",1102,Gobierno de Navarra,España,Corporación Pública Empresarial de Navarra,España,Empresa pública,CCAA,Parque público,NA,https://www.nasuvinsa.es/es,NA,NA,NA,NA,NA
Adania Patrimonio S.L.,429,Adania Grupo Empresarial,España,Adania Grupo Empresarial,España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2021/01/29/pdfs/BORME-A-2021-19-31.pdf,NA,NA,NA,NA,NA
Errotabidea S.A.,335,Caja Rural de Navarra,España,Errotabidea S.A.,España,Empresa privada,NA,Entidades financieras,Banca,https://www.cajaruraldenavarra.com/sites/default/files/info-inversores/Sostenibilidad/MemoriaRSC/2022-memoria-rsc-caja-rural-de-navarra.pdf,https://www.cajaruraldenavarra.com/sites/default/files/2021-05/2020-informe-anual-cuentas-individuales.pdf,NA,NA,NA,NA
Testa Residencial S.L.U,332,Blackstone,Estados Unidos,Tropic Holdco SARL,Luxemburgo,Socimi,NA,Entidades financieras,Fondos de inversión,https://www.cnmc.es/sites/default/files/2272271_5.pdf,https://www.boe.es/borme/dias/2019/07/15/pdfs/BORME-A-2019-133-28.pdf,NA,NA,NA,NA
Catella We 06-Spain S.L.U.,231,Catella Real Estate AG,Alemania,Catella We Holding Spain,España,Empresa privada,NA,Consultoría,NA,https://www.boe.es/borme/dias/2018/04/24/pdfs/BORME-A-2018-79-28.pdf,https://www.boe.es/borme/dias/2016/10/13/pdfs/BORME-A-2016-196-28.pdf,NA,NA,NA,NA
Adania Residencial S.L.,135,Adania Grupo Empresarial,España,Adania Grupo Empresarial,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
"Construcciones Industriales y Urbanas,S.A.",58,"Construcciones Industriales y Urbanas,S.A.",España,"Construcciones Industriales y Urbanas,S.A.",España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
"Luri 6, S.A., Soc. de Inversión Inmobiliaria",91,Banco Santander,España,Banco Santander,España,Empresa privada,NA,Entidades financieras,Banca,https://www.santander.com/content/dam/santander-com/es/documentos/informe-financiero-anual/2022/ifa-2022-informe-financiero-anual-consolidado-es.pdf,NA,NA,NA,NA,NA
"Inmobiliaria Osane, S.L.",87,Caja Rural de Navarra,España,Errotabidea S.A.,España,Empresa privada,NA,Entidades financieras,Banca,https://www.boe.es/borme/dias/2014/05/06/pdfs/BORME-A-2014-84-31.pdf,https://www.cajaruraldenavarra.com/sites/default/files/2021-05/2020-informe-anual-cuentas-individuales.pdf,NA,NA,NA,NA
Buildingcenter S.A.U.,72,CaixaBank,España,CaixaBank,España,Empresa privada,NA,Entidades financieras,Banca,https://buildingcenter.es/es/home-es/,https://www.boe.es/borme/dias/2012/10/16/pdfs/BORME-A-2012-199-08.pdf,NA,NA,NA,NA
"Saldemonte Ribera, S.L.",67,"Saldemonte Ribera, S.L.",España,"Saldemonte Ribera, S.L.",España,Empresa privada,NA,Construcción,NA,NA,NA,NA,NA,NA,NA
Ayuntamiento de Pamplona,62,Ayuntamiento de Pamplona,España,Ayuntamiento de Pamplona,España,Empresa pública,Ayuntamiento,Parque público,NA,NA,NA,NA,NA,NA,NA
Féix Fraile Oneca,61,Féix Fraile Oneca,España,Féix Fraile Oneca,España,Empresa privada,NA,Inmobiliaria,NA,NA,NA,NA,NA,NA,NA
Gestión Residencial S.A.,214,Grupo Proginsa,España,Gestión Residencial S.A.,España,Empresa privada,NA,Inmobiliaria,NA,https://apartamentostutelados.com/quienes-somos/,NA,NA,NA,NA,NA
Apartamentos Tutelados Leyre S.L.,57,Grupo Proginsa,España,Gestión Residencial S.A.,España,Empresa privada,NA,Inmobiliaria,NA,https://apartamentostutelados.com/apartamentos-tutelados/apartamento-leyre/,NA,NA,NA,NA,NA
"Urban Domus Toloño, S.L.",50,Pluralia Gestión S.L.,España,"Urban Domus Toloño, S.L.",España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2016/05/18/pdfs/BORME-A-2016-93-31.pdf,NA,NA,NA,NA,NA
"Promoción de Viviendas Marfer, S.L.",50,Pluralia Gestión S.L.,España,"Promoción de Viviendas Marfer, S.L.",España,Empresa privada,NA,Inmobiliaria,NA,https://www.boe.es/borme/dias/2016/05/18/pdfs/BORME-A-2016-93-31.pdf,NA,NA,NA,NA,NA
